verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
9907052000007;Haushalt;1.56;11.28;5.04;17.88;1.56;11.28;26.76;39.6;6.68;24;FALSCH
9907053000006;Haushalt;2.4;13.8;8.16;24.36;2.4;13.8;22.68;38.88;5.68;30;FALSCH
9907054000005;Haushalt;1.56;11.76;6.98;20.3;2.28;11.76;37.23;51.27;5.27;12;FALSCH
9907055000004;Haushalt;5.6;12.1;6.9;24.6;5.6;12.1;21.12;38.82;6.6;30;FALSCH
9907056000003;Haushalt;4.2;12;7.8;24;4.2;12;18;34.2;4.35;24;FALSCH
9907057000002;Haushalt;3;13.8;9.9;26.7;6.6;13.8;19.75;40.15;7.03;35.5;FALSCH
9907058000001;Haushalt;4.75;11.92;9.96;26.63;7.12;11.92;17.18;36.22;6.82;35;WAHR
9907061000006;Haushalt;2.9;7.36;5.38;15.64;2.9;14.73;22.66;40.29;6.04;33.6;FALSCH
9907062000005;Haushalt;3.7;6.7;9.99;20.39;5.55;6.7;34.99;47.24;6.27;18;FALSCH
9907064000003;Haushalt;4.2;12;9.57;25.77;4.8;12.2;26.56;43.56;8.51;0;FALSCH
9907066000001;Haushalt;4.7;6.8;16.7;28.2;6.18;8.3;40.92;55.4;7.28;24;FALSCH
9907067000000;Haushalt;1.62;12;10;23.62;1.75;12;20;33.75;4.33;42;FALSCH
9907069000008;Haushalt;6.58;25.96;10.42;42.96;6.58;25.96;10.92;43.46;6.96;15;FALSCH
9907070000005;Haushalt;3.85;11.76;11.24;26.85;3.85;11.76;11.24;26.85;6.94;0;FALSCH
9907072000003;Haushalt;1.78;11.27;6.05;19.1;1.78;11.27;22.28;35.33;5.85;15;FALSCH
9907073000002;Haushalt;2.71;10.2;7.44;20.35;4.02;10.2;19.2;33.42;5.11;36;FALSCH
9907075000000;Haushalt;2.15;11.92;8.19;22.26;2.15;11.92;28.3;42.37;6.88;0;FALSCH
9907076000009;Haushalt;4.1;11.31;7.3;22.71;6.36;12.24;17.07;35.67;4.1;50;FALSCH
9907077000008;Haushalt;4.2;12;9.57;25.77;4.8;12.2;26.56;43.56;7.27;36;FALSCH
9907078000007;Haushalt;6;14;8.5;28.5;10;14;8.5;32.5;5.55;0;FALSCH
9907079000006;Haushalt;1.68;10.84;9.36;21.88;1.68;10.84;10.91;23.43;7.07;20;FALSCH
9907080000003;Haushalt;1.54;11.49;9.43;22.46;2.31;11.66;18.86;32.83;3.12;30;FALSCH
9907081000002;Haushalt;5.2;12;10;27.2;8;12.2;20;40.2;6.26;25.2;FALSCH
9907083000000;Haushalt;5;12;9;26;8;12;16;36;5.84;25;FALSCH
9907084000009;Haushalt;2;8.94;9.53;20.47;2;8.94;10.43;21.37;4.93;15;FALSCH
9907085000008;Haushalt;4;12;12;28;4;30;36;70;5.72;30;FALSCH
9907086000007;Haushalt;2.25;7.94;9.2;19.39;2.25;7.94;33.45;43.64;6.36;15;FALSCH
9907087000006;Haushalt;3;12;9.85;24.85;3.8;12.2;27.26;43.26;6.37;43;FALSCH
9907088000005;Haushalt;4.2;12;9.57;25.77;4.8;12.2;26.56;43.56;6.72;0;WAHR
9907089000004;Haushalt;3.8;12;9.97;25.77;4.5;12.2;26.86;43.56;5.97;28;FALSCH
9907090000001;Haushalt;3.2;12.8;18.75;34.75;4.8;12.8;37.4;55;5.51;24;FALSCH
9907092000009;Haushalt;2.4;9;8.5;19.9;3.6;9;21;33.6;5.67;15;FALSCH
9907093000008;Haushalt;2.4;9.9;8.5;20.8;3.6;9.9;21;34.5;6.78;18;FALSCH
9907096000005;Haushalt;2.16;10.2;4.68;17.04;2.16;10.2;6.72;19.08;5.89;18;FALSCH
9907100000008;Haushalt;3.8;12;9.97;25.77;4.5;12.2;31.18;47.88;7.43;24.5;FALSCH
9907102000006;Haushalt;3.8;12;9.04;24.84;4.5;12.2;26.55;43.25;5.13;28;FALSCH
9907103000005;Haushalt;2.52;10.08;9.12;21.72;2.76;11.76;13.92;28.44;4.93;30;FALSCH
9907104000004;Haushalt;4.2;12;11;27.2;5.8;12.2;31.67;49.67;5.43;24;FALSCH
9907109000009;Haushalt;2.4;11.2;8.4;22;2.4;11.2;20.7;34.3;5.02;24;FALSCH
9907110000006;Haushalt;4.2;12;9.31;25.51;4.8;12.2;30.82;47.82;6.21;25;FALSCH
9907111000005;Haushalt;4.2;12;9.56;25.76;4.8;12.2;30.81;47.81;4.92;19.43;FALSCH
9907112000004;Haushalt;4.1;11;8.9;24;4.1;11;8.9;24;5.57;15;FALSCH
9907113000003;Haushalt;3.8;12;9.71;25.51;4.5;12.2;24.66;41.36;4.15;15;FALSCH
9907114000002;Haushalt;3.7;11.31;7.23;22.24;3.7;11.31;31.9;46.91;7.19;15;FALSCH
9907115000001;Haushalt;1.8;8.1;5.1;15;1.8;8.1;6;15.9;3.78;21;FALSCH
9907116000000;Haushalt;5.13;9;9.87;24;8;9;20;37;5.07;24.5;FALSCH
9907117000009;Haushalt;2.4;12;11.2;25.6;2.4;12;15;29.4;5.08;0;FALSCH
9907118000008;Haushalt;4.2;10;9;23.2;4.68;12;14;30.68;4.93;25;FALSCH
9907122000002;Haushalt;2.5;10;9.18;21.68;3;10;15.9;28.9;7.78;24;FALSCH
9907124000000;Haushalt;2.9;14.7;7.5;25.1;2.9;14.7;12.6;30.2;6.03;30;WAHR
9907127000007;Haushalt;3.06;10.21;9.79;23.06;4.59;10.36;19.59;34.54;6.7;24;FALSCH
9907128000006;Haushalt;6.78;16.47;4.67;27.92;10.21;16.47;20.72;47.4;6.73;15;FALSCH
9907129000005;Haushalt;2.69;10.67;11.93;25.29;4.03;10.67;30.93;45.63;7.51;29.5;FALSCH
9907132000000;Haushalt;2.5;11.75;7;21.25;2.5;11.75;9.85;24.1;5.81;15;FALSCH
9907134000008;Haushalt;3;12;9.85;24.85;3.8;12;27.26;43.06;5.72;24;FALSCH
9907137000005;Haushalt;2.83;11.04;6;19.87;2.83;11.04;7.32;21.19;5.25;52.8;FALSCH
9907139000003;Haushalt;2.88;10.98;8.5;22.36;2.88;10.98;36.1;49.96;5.89;23.61;FALSCH
9907140000000;Haushalt;3;9;9;21;3;9;9;21;5.14;48;FALSCH
9907142000008;Haushalt;4.99;11.3;8.99;25.28;4.99;11.3;21.1;37.39;5.27;23;FALSCH
9907145000005;Haushalt;5.2;12;8.57;25.77;5.8;12.2;25.56;43.56;6.24;24;FALSCH
9907146000004;Haushalt;3;12;9;24;3;12;9;24;4.6;18;FALSCH
9907153000005;Haushalt;2.88;12;7.2;22.08;3.24;12.2;17.4;32.84;8.2;36;FALSCH
9907154000004;Haushalt;2.5;12;7;21.5;4;12;10;26;4.93;35;FALSCH
9907155000003;Haushalt;3.6;1.8;8.16;13.56;5.64;1.8;16.32;23.76;5.18;18;FALSCH
9907156000002;Haushalt;2.46;6.02;7.92;16.4;3.79;6.52;23.84;34.15;4.42;25;FALSCH
9907157000001;Haushalt;5.28;9.96;11.04;26.28;7.68;10.44;22.08;40.2;5.53;18;FALSCH
9907158000000;Haushalt;5.16;6.96;10.44;22.56;8.04;7.08;20.88;36;5.46;12;FALSCH
9907159000009;Haushalt;5.2;12.2;8.35;25.75;8;12.2;24.19;44.39;6.31;35;FALSCH
9907160000006;Haushalt;4.92;12.12;10.44;27.48;7.68;12.24;20.88;40.8;7.51;0;FALSCH
9907162000004;Haushalt;4.8;12.96;10.44;28.2;7.44;13.2;20.88;41.52;6.17;18;FALSCH
9907164000002;Haushalt;3.6;11.16;7.2;21.96;5.64;11.4;14.4;31.44;4.82;18;FALSCH
9907165000001;Haushalt;2.47;7.07;6.75;16.29;4.92;14.11;16.84;35.87;4.24;0;FALSCH
9907166000000;Haushalt;3.72;5.68;8.88;18.28;7.47;5.68;26.64;39.79;6.96;0;FALSCH
9907168000008;Haushalt;2.76;4.2;6;12.96;4.2;4.32;12;20.52;6.27;18;FALSCH
9907170000004;Haushalt;3.79;6.38;4.45;14.62;10.52;6.38;14.04;30.94;5.11;12;FALSCH
9907173000001;Haushalt;4.08;11.52;8.16;23.76;6.24;11.76;16.32;34.32;7.12;18;FALSCH
9907181000001;Haushalt;1.5;9.5;8.25;19.25;1.5;9.5;14.95;25.95;2.97;75;FALSCH
9907182000000;Haushalt;3.25;11.31;7.8;22.36;3.25;11.31;33.23;47.79;6.42;25;FALSCH
9907183000009;Haushalt;1.6;11.98;7.3;20.88;1.6;11.98;24.9;38.48;5.17;15;FALSCH
9907185000007;Haushalt;2.8;12;5.2;20;6;15;14;35;8.25;0;FALSCH
9907187000005;Haushalt;1.2;11.97;5.11;18.28;1.2;11.97;19.54;32.71;4.9;15;FALSCH
9907189000003;Haushalt;1.78;7.82;7.2;16.8;1.78;7.82;28.08;37.68;4.5;15;FALSCH
9907190000000;Haushalt;5.5;12;7;24.5;5.5;12;26;43.5;7.19;15;FALSCH
9907191000009;Haushalt;2.04;8.04;8.28;18.36;2.04;8.04;27.48;37.56;6.16;30;FALSCH
9907192000008;Haushalt;3.6;11.31;7.9;22.81;3.6;11.31;33.47;48.38;6.3;0;FALSCH
9907194000006;Haushalt;3.12;9.72;6.96;19.8;4.8;9.84;13.92;28.56;7.32;18;FALSCH
9907199000001;Haushalt;3.64;7.43;6.57;17.64;3.64;7.43;13.14;24.21;7.14;0;FALSCH
9907200000007;Haushalt;0.93;11.49;4.73;17.15;1.38;16.87;6.93;25.18;4.44;12.75;WAHR
9907202000005;Haushalt;2.15;9.8;8.25;20.2;2.15;9.8;19.65;31.6;6.14;36;WAHR
9907203000004;Haushalt;1.95;8;10;19.95;1.95;8;20;29.95;3.26;40;FALSCH
9907204000003;Haushalt;4.2;12;9.6;25.8;4.8;12.2;30.81;47.81;7.73;0;FALSCH
9907205000002;Haushalt;1.8;11.95;7.5;21.25;1.8;11.95;24.28;38.03;4.64;27;FALSCH
9907210000005;Haushalt;2.5;12;10;24.5;2.5;12;15;29.5;6.16;45;FALSCH
9907211000004;Haushalt;1.8;13.7;6.4;21.9;3.5;15;19.1;37.6;4.5;47.58;FALSCH
9907212000003;Haushalt;4.31;11.9;8.29;24.5;8;11.9;20;39.9;5.1;24.54;FALSCH
9907219000006;Haushalt;4.68;13.68;9;27.36;4.68;13.68;28.56;46.92;6.16;47;FALSCH
9907232000009;Haushalt;1.8;9;6;16.8;1.8;9;6;16.8;5.88;26.4;FALSCH
9907233000008;Haushalt;5.2;12;8;25.2;8;12.2;24;44.2;5.3;20;FALSCH
9907235000006;Haushalt;2.61;3.77;4.85;11.23;3.92;4.14;7.28;15.34;4.84;0;FALSCH
9907236000005;Haushalt;2.5;7;4.2;13.7;9.15;8.5;11.55;29.2;5.42;40;FALSCH
9907237000004;Haushalt;2.9;8.3;5.76;16.96;2.9;8.3;26.25;37.45;5.2;25;FALSCH
9907248000001;Haushalt;4;12.5;6.5;23;5;12.7;25.64;43.34;5.09;29.34;FALSCH
9907251000006;Haushalt;2.1;8;4.05;14.15;2.1;8;11;21.1;3.82;24;FALSCH
9907252000005;Haushalt;4.49;7.88;5.95;18.32;7;7.97;11.92;26.89;4.19;12;FALSCH
9907254000003;Haushalt;2.28;7.92;4.56;14.76;3.48;8.04;9.12;20.64;6.96;12;FALSCH
9907255000002;Haushalt;5.2;12.2;8.35;25.75;8;12.2;24.19;44.39;4.84;21.5;FALSCH
9907256000001;Haushalt;5.2;12.2;8.35;25.75;8;12.2;24.19;44.39;3.98;21.5;FALSCH
9907257000000;Haushalt;3.25;6.5;8.3;18.05;6.53;13.02;20.74;40.29;5.96;0;FALSCH
9907262000003;Haushalt;5.82;11.52;11.26;28.6;5.82;11.52;29.25;46.59;5.2;12.45;FALSCH
9907264000001;Haushalt;3;8;9.19;20.19;3;8;17.16;28.16;7.03;15;FALSCH
9907265000000;Haushalt;4.54;11.45;12;27.99;4.54;11.45;20.45;36.44;6.49;25;FALSCH
9907272000001;Haushalt;3.24;11.22;10.97;25.43;6.48;11.22;19.46;37.16;5.13;39.6;FALSCH
9907273000000;Haushalt;4.74;11.25;9.08;25.07;7.3;11.44;31.8;50.54;5.65;25.46;FALSCH
9907276000007;Haushalt;2.5;12.84;7.8;23.14;2.5;12.84;21.6;36.94;4.98;0;FALSCH
9907277000006;Haushalt;2;8;3.65;13.65;2;8;24.16;34.16;4.41;30;FALSCH
9907281000000;Haushalt;4.06;13.1;7.17;24.33;6.24;15.28;14.34;35.86;4.25;35;FALSCH
9907286000005;Haushalt;3.73;7.58;4.85;16.16;3.73;7.58;5.14;16.45;7.25;15;FALSCH
9907305000001;Haushalt;2.71;10.2;7.44;20.35;4.02;10.2;19.2;33.42;3.7;36;FALSCH
9907306000000;Haushalt;2.4;8.5;8.5;19.4;3.6;8.5;21;33.1;7.45;12;FALSCH
9907307000009;Haushalt;2.5;9.4;10.7;22.6;2.5;9.4;17;28.9;5.78;40;FALSCH
9907313000001;Haushalt;3;11.04;6.6;20.64;3;11.04;15.6;29.64;7.07;36;FALSCH
9907317000007;Haushalt;4.06;13.1;7.17;24.33;6.24;15.28;14.34;35.86;5.67;35;FALSCH
9907318000006;Haushalt;2.05;7.5;9.5;19.05;0;0;0;0;6.61;25;FALSCH
9907324000008;Haushalt;5.16;13.8;8.64;27.6;5.16;13.8;8.64;27.6;7.64;0;FALSCH
9907326000006;Haushalt;1.83;11.19;9.44;22.46;9.5;41.05;38.02;88.57;5;46;FALSCH
9907340000008;Haushalt;5.64;10.8;9.12;25.56;7.56;10.8;43.92;62.28;6.15;24;FALSCH
9907342000006;Haushalt;4.58;11.8;8.82;25.2;8;11.8;20;39.8;6.47;0;FALSCH
9907355000001;Haushalt;2.59;7.14;6.04;15.77;3.82;7.14;8.91;19.87;5.15;20;FALSCH
9907356000000;Haushalt;3.15;8.1;9.8;21.05;3.15;8.1;27.93;39.18;4.79;0;WAHR
9907371000001;Haushalt;3.3;14.2;8.5;26;5.7;19.3;28.2;53.2;6.17;47.58;FALSCH
9907376000006;Haushalt;2.99;8.48;9.67;21.14;2.99;8.48;9.67;21.14;5.77;0;FALSCH
9907387000003;Haushalt;4.2;14.5;6.55;25.25;6.8;15;33.5;55.3;6.93;24;FALSCH
9907388000002;Haushalt;3.24;11.04;8.6;22.88;3.24;11.04;22.97;37.25;4.8;30;FALSCH
9907391000007;Haushalt;1.57;11.39;7.4;20.36;1.57;11.39;21.78;34.74;5.39;44.95;FALSCH
9907399000009;Haushalt;2.63;14.95;9.62;27.2;2.63;14.95;31.6;49.18;3.59;65;FALSCH
9907404000001;Haushalt;2.5;12;7;21.5;8;12;20;40;4.01;30;FALSCH
9907409000006;Haushalt;1.55;15.26;8.24;25.05;2.13;15.26;31.4;48.79;4.15;40;FALSCH
9907415000008;Haushalt;2.44;11.92;4.49;18.85;4.88;11.92;14.91;31.71;4.32;36.5;FALSCH
9907421000000;Haushalt;4.69;10.5;9.01;24.2;8;10.5;20;38.5;5.87;24;FALSCH
9907466000007;Haushalt;1.9;12;10.65;24.55;2.3;12.2;25;39.5;4.16;40;FALSCH
9907473000008;Haushalt;5.2;12;9;26.2;8;12.2;26;46.2;5.04;25;FALSCH
9907479000002;Haushalt;3;7.2;9.95;20.15;3;7.2;29.9;40.1;4.39;0;FALSCH
9907505000009;Haushalt;1.89;8.67;9.45;20.01;1.89;8.67;17.54;28.1;3.09;15;FALSCH
9907509000005;Haushalt;3.99;11.87;10;25.86;3.99;11.87;32;47.86;5.16;24;FALSCH
9907510000002;Haushalt;2.04;9.36;6.96;18.36;2.04;9.36;26.16;37.56;3.19;48;FALSCH
9907515000007;Haushalt;2.4;9;8.1;19.5;2.4;9;28;39.4;6.33;0;FALSCH
9907529000001;Haushalt;2.04;8.52;6;16.56;2.04;8.52;25.2;35.76;3.73;48;FALSCH
9907536000002;Haushalt;5;12;7;24;5;12;14;31;5.5;18;FALSCH
9907538000000;Haushalt;4.18;11.7;9.35;25.23;0;0;0;0;7.48;0;FALSCH
9907549000007;Haushalt;1.8;13.7;6.4;21.9;3.5;15;19.1;37.6;4.67;47.58;FALSCH
9907550000004;Haushalt;1.8;13.7;6.4;21.9;3.5;15;19.1;37.6;4.77;47.58;FALSCH
9907558000006;Haushalt;4.2;12;7.75;23.95;4.2;12;24;40.2;3.82;18;FALSCH
9907559000005;Haushalt;1.64;7.05;5.84;14.53;1.64;7.05;15.62;24.31;3.81;0;FALSCH
9907563000009;Haushalt;3.12;11.5;8.1;22.72;3.12;11.5;13.7;28.32;2.87;20.1;FALSCH
9907581000007;Haushalt;3.05;11.83;9.95;24.83;3.05;11.83;28.82;43.7;5.47;0;FALSCH
9907584000004;Haushalt;2.04;10.08;10.32;22.44;2.88;12.48;27.12;42.48;5.66;18;FALSCH
9907594000002;Haushalt;2.45;11.94;5.71;20.1;2.45;11.94;20.91;35.3;4.47;0;FALSCH
9907595000001;Haushalt;1.28;8.2;8.2;17.68;1.28;8.2;29.2;38.68;5.62;15;FALSCH
9907601000002;Haushalt;1.8;6.6;4.32;12.72;1.8;6.6;23.52;31.92;3.33;48;FALSCH
9907602000001;Haushalt;1.75;9;4.8;15.55;1.75;9;19.1;29.85;4.58;12;FALSCH
9907603000000;Haushalt;3.06;8;5.69;16.75;4.09;8;9.53;21.62;5.95;15;FALSCH
9907607000006;Haushalt;3.6;13.9;9.3;26.8;5.2;13.9;18.8;37.9;3.98;25;FALSCH
9907615000006;Haushalt;2.46;13.43;7.26;23.15;2.46;13.43;22.78;38.67;4.85;30;FALSCH
9907617000004;Haushalt;1.68;10.84;9.36;21.88;1.68;10.84;10.91;23.43;4.5;20;FALSCH
9907632000005;Haushalt;1.62;10.68;9.46;21.76;1.62;10.68;22.73;35.03;4.87;43.92;FALSCH
9907633000004;Haushalt;2.56;14.46;7.32;24.34;2.56;14.46;29.28;46.3;3.47;21.96;FALSCH
9907634000003;Haushalt;1.92;11.34;8.34;21.6;1.92;11.34;29.9;43.16;3.37;30.5;FALSCH
9907636000001;Haushalt;2;12;12;26;2;12;37;51;4.97;15;FALSCH
9907637000000;Haushalt;6.35;9.15;12.81;28.31;10.98;14.64;18.3;43.92;5.96;0;FALSCH
9907639000008;Haushalt;1.78;12;6.06;19.84;1.78;12;18.86;32.64;6.35;30.3;FALSCH
9907643000002;Haushalt;3.6;12;12.9;28.5;3.6;12;21;36.6;6.4;0;FALSCH
9907645000000;Haushalt;3.5;7.5;7.56;18.56;3.5;7.5;21.43;32.43;3.97;25;FALSCH
9907647000008;Haushalt;2.43;13.25;7.56;23.24;2.43;13.25;23.26;38.94;3.94;0;FALSCH
9907652000001;Haushalt;3.24;11.04;8.6;22.88;3.24;11.04;22.97;37.25;4.8;30;WAHR
9907653000000;Haushalt;3.45;8.9;6.6;18.95;3.45;8.9;27.58;39.93;4.94;15;FALSCH
9907655000008;Haushalt;3.05;7.05;8.6;18.7;6.1;7.05;17.5;30.65;4.74;19.74;FALSCH
9907658000005;Haushalt;2.98;13.13;4.85;20.96;5.96;13.13;16.01;35.1;4.21;36.6;FALSCH
9907660000001;Haushalt;1.8;6.7;6.7;15.2;1.8;6.7;18.8;27.3;2.55;25;FALSCH
9907661000000;Haushalt;5.2;12;3.75;20.95;5.2;12;3.75;20.95;5.45;0;FALSCH
9907667000004;Haushalt;1.8;8.4;7.2;17.4;1.8;8.4;20.4;30.6;6.05;29.6;FALSCH
9907668000003;Haushalt;0.63;9.35;4.93;14.91;0.63;9.35;14.78;24.76;3.91;24.21;FALSCH
9907669000002;Haushalt;3.72;7.85;5.88;17.45;5.17;8.24;11.04;24.45;3.93;15;FALSCH
9907672000007;Haushalt;3.4;11.4;8.3;23.1;3.4;11.4;22.9;37.7;5.55;45;FALSCH
9907675000004;Haushalt;2.16;13.8;8.64;24.6;0;0;0;0;5.09;70;FALSCH
9907684000003;Haushalt;3.82;11.88;9.31;25.01;3.82;11.88;9.31;25.01;6.91;0;FALSCH
9907687000000;Haushalt;4.6;4.7;5.8;15.1;0;0;0;0;4.66;25;WAHR
9907690000005;Haushalt;1.73;11.08;9.61;22.42;1.73;11.08;23.3;36.11;2.83;36.6;FALSCH
9907693000002;Haushalt;4.23;10;9.55;23.78;4.23;10;9.55;23.78;5.46;40;FALSCH
9907704000008;Haushalt;3.1;8.71;6.36;18.17;4.78;8.85;14.4;28.03;5.51;54;FALSCH
9907713000007;Haushalt;2.43;13.25;7.56;23.24;2.43;13.25;23.26;38.94;3.63;0;FALSCH
9907721000007;Haushalt;3.6;12.6;9;25.2;3.6;12.6;21;37.2;6.19;18;FALSCH
9907737000009;Haushalt;2.5;13.52;7.26;23.28;2.5;13.52;24.41;40.43;4.47;0;FALSCH
9907740000004;Haushalt;1.6;10.5;9;21.1;1.6;10.5;12;24.1;4.59;40.15;FALSCH
9907741000003;Haushalt;3.84;10.98;9;23.82;5.76;18.3;29.76;53.82;4.87;30;FALSCH
9907743000001;Haushalt;1.68;10.84;9.36;21.88;1.68;10.84;10.91;23.43;4.43;20;FALSCH
9907745000009;Haushalt;4;12;9;25;4;12;14;30;5.17;42;FALSCH
9907746000008;Haushalt;1.8;10.6;8.8;21.2;1.8;10.6;20.6;33;4.56;28;FALSCH
9907747000007;Haushalt;2.4;9.6;7.2;19.2;2.4;9.6;18;30;2.82;42;FALSCH
9907748000006;Haushalt;2.4;9.6;7.2;19.2;2.4;9.6;18;30;2.91;42;FALSCH
9907749000005;Haushalt;2.4;9.6;7.2;19.2;2.4;9.6;18;30;3.1;51.12;FALSCH
9907750000002;Haushalt;2.14;11.72;7.26;21.12;2.14;11.72;24.92;38.78;5.46;0;FALSCH
9907751000001;Haushalt;5.2;9.75;10;24.95;8;9.75;20;37.75;4.8;0;FALSCH
9907754000008;Haushalt;3.55;8.17;6.6;18.32;5.45;10.58;12.53;28.56;6.85;0;FALSCH
9907755000007;Haushalt;1.9;12;10.65;24.55;2.3;12.2;25;39.5;4.15;40;WAHR
